fight_id,P1_id,P2_id,P1_name,P2_name,date,location,rounds_planned,P1_W,P1_L,P1_D,P2_W,P2_L,P2_D,P1_6W,P1_6L,P1_6D,P2_6W,P2_6L,P2_6D,P1_bdate,P1_stance,P1_height,P1_reach,P1_country,P2_bdate,P2_stance,P2_height,P2_reach,P2_country,P1_outcome,rounds_happened,time,referee,judge1,judge2,judge3,judge1_score,judge2_score,judge3_score,comments,P2_outcome,outcome_type,rounds_planned.1,lon,lat
12767,814,1000,Aaron Lopez,Jeff Franklin,4/8/88,"Las Vegas, Nevada",12,18,2,3,18,2,3,4,0,2,4,0,2,6/28/62,orthodox,0,0,USA,9/30/62,orthodox,170,0,USA,L,12,0,0,Walter Cavalieri,Chuck Giampa,Glen Hamada,113-118,112-117,112-116,0,L,UD,12,-115.1398296,36.1699412
12761,814,1371,Aaron Lopez,Gabriel Ruelas,7/31/91,"Country Club, Reseda, California",12,23,1,0,23,1,0,5,1,0,5,1,0,6/28/62,orthodox,0,0,USA,7/23/70,orthodox,170,175,Mexico,L,12,0,0,0,0,0,0,0,0,0,L,UD,12,-118.5360517,34.2011141
12762,814,3387,Aaron Lopez,Vicente Gonzalez,5/17/91,"Country Club, Reseda, California",12,13,10,2,13,10,2,1,5,0,1,5,0,6/28/62,orthodox,0,0,USA,4/5/67,orthodox,165,163,USA,W,12,0,0,0,0,0,0,0,0,0,W,SD,12,-118.5360517,34.2011141
10311,1357,1299,Aaron Zarate,Ditau Paul Molefyane,12/3/94,"Village Green, Durban, KwaZulu-Natal",12,28,6,0,28,6,0,5,1,0,5,1,0,10/15/69,0,183,182,Mexico,1/6/65,orthodox,175,0,South Africa,W,6,0,Clive Jackson,0,0,0,0,0,0,Stopped on injuries,W,RTD,12,30.925571,-29.880537
12518,1955,1371,Abe Castro,Gabriel Ruelas,8/29/89,"Country Club, Reseda, California",0,14,0,0,14,0,0,6,0,0,6,0,0,,0,0,0,USA,7/23/70,orthodox,170,175,Mexico,L,4,0,0,0,0,0,0,0,0,0,L,KO,0,-118.5360517,34.2011141
1635,45900,1347,Abe Diaz,Paris Alexander,7/9/87,"Oakland Coliseum, Oakland, California",4,6,0,0,6,0,0,6,0,0,6,0,0,,0,0,0,0,8/15/64,0,0,0,USA,L,4,0,0,0,0,0,0,0,0,0,L,UD,4,-122.1969003,37.7536681
3371,3422,541,Abe Gomez,Louie Espinoza,6/28/93,"Great Western Forum, Inglewood, California",10,45,7,2,45,7,2,4,2,0,4,2,0,,0,0,0,USA,5/12/62,orthodox,173,0,USA,L,10,0,0,0,0,0,0,0,0,0,L,UD,10,-118.3531311,33.9616801
3373,3422,1357,Abe Gomez,Aaron Zarate,4/5/93,"Great Western Forum, Inglewood, California",8,19,3,0,19,3,0,4,2,0,4,2,0,,0,0,0,USA,10/15/69,0,183,182,Mexico,L,8,0,0,0,0,0,0,0,0,0,L,PTS,8,-118.3531311,33.9616801
3376,3422,1547,Abe Gomez,Rafael Ruelas,6/18/90,"Great Western Forum, Inglewood, California",10,17,0,0,17,0,0,6,0,0,6,0,0,,0,0,0,USA,4/26/71,orthodox,180,180,USA,L,10,0,Lou Filippo,0,0,0,0,0,0,Gomez was knocked down twice in the 1st round,L,UD,10,-118.3531311,33.9616801
3385,3422,1061,Abe Gomez,Hugo Anguiano,5/31/88,"Country Club, Reseda, California",12,6,7,0,6,7,0,2,4,0,2,4,0,,0,0,0,USA,1/23/62,0,0,0,Mexico,L,12,0,0,0,0,0,0,0,0,0,L,UD,12,-118.5360517,34.2011141
